User,Search Term,Tweet Text,Created on,Compound,Positive,Negative,Neutral,Timestamps
junesarpong,@BBC,RT @junesarpong: Today @bbc #CreativeDiversityUnit laid out the first phase of our inclusion agenda #RIVERS. Proud to  partner with @Inclus…,2020-05-22 09:03:42,0.4767,0.14,0.0,0.86,1590138222
itsamonsteer98,@BBC,"RT @BBC: ‘I’d describe it like the reactions inside the sun.’

This is what it's like to live with severe anxiety.

#MentalHealth @BBC_Teac…",2020-05-22 09:03:25,0.1779,0.177,0.152,0.671,1590138205
waleedalnadheef,@BBC,RT @DrElmugamar: NHS fees to be scrapped for overseas health staff and care workers! Good news ! The SDU sent a letter to the government am…,2020-05-22 09:03:04,0.7707,0.218,0.0,0.782,1590138184
RedwoodOrginal1,@BBC,@spenley again your in front of the @BBCBreaking . In your live feed we discussed drug combinations.  We discussed the treat may become like the treatment of HIV . Today they  announced a treatment that focuses on boosting T cells etc.The @BBC needs to interview your followers! https://t.co/jcgcSXtISP,2020-05-22 09:02:53,0.784,0.149,0.0,0.851,1590138173
BobMoor33020935,@BBC,"RT @corporal_frank: 5 years ago it would’ve been inconceivable that I would miss #bbcqt now I see it’s on, snarl at the thought of Fiona Br…",2020-05-22 09:02:45,-0.1531,0.0,0.06,0.94,1590138165
BEzissi,@BBC,"RT @IpobosisiomaLga: Where is #YemiOsibanjo the Official Vice president of Nigeria from #OduduwaNation?
@nassnigeria 
@NGRSenate 
@APCNiger…",2020-05-22 09:02:39,0.0,0.0,0.0,1.0,1590138159
RickyLionheart,@BBC,@uk_sf_writer @BBC @10DowningStreet You don’t... I watch @tombradby and @julieetchitv every night (sometimes there are stand ins) and have not looked back. Just untune the BBC channels on your TV sets and stop paying the £13 direct debit. Simple as that 🇬🇧👍. Not heard anything from @bbcnews for months 😁,2020-05-22 09:02:33,0.2023,0.051,0.037,0.912,1590138153
peteruche88,@BBC,"RT @IpobosisiomaLga: Where is #YemiOsibanjo the Official Vice president of Nigeria from #OduduwaNation?
@nassnigeria 
@NGRSenate 
@APCNiger…",2020-05-22 09:02:30,0.0,0.0,0.0,1.0,1590138150
art_connoiseur,@BBC,"RT @GiftCee: No that’s not a U-turn it’s called a Prime Minister for the people, who is willing to listen to good input.

This is called le…",2020-05-22 09:02:29,0.1779,0.096,0.073,0.831,1590138149
ponies_peonies,@BBC,"RT @redsarah99: Apparently @jeremycorbyn is being attacked, again,
I won't even look why.

This is Corbyn with an ex service gentleman,
Thi…",2020-05-22 09:02:21,-0.4588,0.0,0.125,0.875,1590138141
paul_boo6880,@BBC,RT @tj1969t: French navy escorting illegal immigrants into British waters. Typically @BBCNews decides to CENSOR these events ..............…,2020-05-22 09:02:20,-0.8091,0.0,0.314,0.686,1590138140
TheNippyOne,@BBC,"@Nick_Haywood @jdmtom @BBC @SkyNews This gif represents jd and I this morning 😂
Back to bed! 🤣😂🤣😂 https://t.co/oisrIJIPsW",2020-05-22 09:02:19,0.937,0.319,0.1,0.581,1590138139
LcolePe,@BBC,RT @MrJSmithPE: Because students aren’t in school during summer athletics season. It would be great if @BBC &amp; @Channel4 replayed London 201…,2020-05-22 09:02:15,0.6249,0.163,0.0,0.837,1590138135
Weedyouneednews,@CBS,RT @cuddlycrow: @RealJamesWoods @CBS @NBC @ABC @CNN @MSNBC @CBS_Herridge This should be reported on to bring light to the atrocities that t…,2020-05-22 09:10:23,0.0,0.0,0.0,1.0,1590138623
fred9038,@CBS,"@weijia is proving herself and @CBS as Resistance/Performance Journalists of the 10th degree. Americans doesn’t stand with their  bs, but we do stand with @realDonaldTrump #MAGA2020Landslide https://t.co/UrMLf1LFGf",2020-05-22 09:10:19,0.0,0.0,0.0,1.0,1590138619
realMarkHohe,@CBS,"@alexsalvinews @OANN Bending/ignoring the facts is a hallmark of @weijia's reporting.....

@CBSNews
@CBS
@WhiteHouse @PressSec",2020-05-22 09:08:34,0.0,0.0,0.0,1.0,1590138514
ajtweet,@CBS,@ViacomCBS @CBS @CBSAllAccess @PlutoTV @bcbeat Horrible shoes on three of the four.,2020-05-22 09:05:24,-0.5423,0.0,0.241,0.759,1590138324
QueNocheAVR,@CBS,"RT @jaimecamil: So excited about “soccer”, TONIGHT’S ALL NEW @broke episode 🎉🥳🙌🏼 And yes, @LAFC’s @JordanCHarvey will be joining us 😎 See y…",2020-05-22 09:04:09,0.8838,0.314,0.062,0.623,1590138249
QueNocheAVR,@CBS,RT @jaimecamil: OK East Coast! Go find a friend/significant other that’ll protect you like LUIS protects JAVI and get your tv ready 🤗🥰 An a…,2020-05-22 09:03:56,0.9511,0.441,0.0,0.559,1590138236
QueNocheAVR,@CBS,"RT @jaimecamil: Yeah JAVI, I don’t think soccer is your forte... 😂🥴🤕 Don’t miss tonight’s all new episode of @broke! 9:30/8:30c on @CBS 🙌🏼…",2020-05-22 09:03:07,0.2481,0.135,0.148,0.718,1590138187
SshMySoapsAreOn,@CBS,RT @YandR_CBS: Please join us in congratulating these outstanding #YR #DaytimeEmmy nominees! 🏆 Don't miss their big night June 26th only on…,2020-05-22 09:02:52,0.8495,0.363,0.0,0.637,1590138172
Human20755866,@CBS,@SouthOVegas @CBS I know right. Tuned in last week only to learn it's been cast off😭😭 #SaveTommy pretty please @hulu @netflix @Quibi,2020-05-22 09:01:05,-0.1779,0.154,0.174,0.672,1590138065
hotrodzdan,@CBS,RT @trshmare: @CBS @CBSAllAccess I can’t believe that you’re cancelling Tommy and God friended me. Have you lost your mind-they are the 2 b…,2020-05-22 09:00:30,0.1779,0.166,0.142,0.692,1590138030
Human20755866,@CBS,@Donoterase8 @CBS @netflix @hulu #SaveTommy I am talking to you @hulu @netflix @Quibi,2020-05-22 08:59:50,0.0,0.0,0.0,1.0,1590137990
Human20755866,@CBS,"@pontheva @CBS @cbs_Tommy is great show and I hope a streaming service will resurrect it. @hulu @netflix  @Quibi hint hint
 Honestly, there is zero reason to watch network TV if they can't give shows headlined by minorities a chance.",2020-05-22 08:58:38,0.9001,0.255,0.0,0.745,1590137918
